대분류,카드 종류,사용구분,회원 관련 정보,롯데카드,비씨카드(자체),삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,년월
회원수,신용카드,개인,"전체
회원수
(월중)",9045,1452,12647,14235,7000,5923,11430,11579,202302
회원수,신용카드,개인,"신규회원수
(월중)",117,61,145,121,95,100,112,148,202302
회원수,신용카드,개인,해지회원 수(월중),78,16,93,104,66,61,72,85,202302
회원수,신용카드,개인,"전체
이용
회원수",6184,281,9883,10934,5023,4032,8637,8966,202302
회원수,신용카드,개인,"사용가능
회원수
(월말)",8299,1349,11514,13100,6101,5137,10480,10517,202302
회원수,신용카드,법인,신규회원수(월중),0,0,0,5,9,4,0,9,202302
회원수,신용카드,법인,해지회원 수(월중),0,0,0,5,3,1,0,5,202302
회원수,신용카드,법인,사용가능 회원수(월말),34,0,41,171,269,210,35,449,202302
회원수,직불/체크카드,개인,사용가능 카드수,486,34,526,19722,9122,10210,179,16050,202302
회원수,직불/체크카드,개인,사용불가 카드수,33,7,45,452,1171,607,23,867,202302
회원수,직불/체크카드,개인,사용가능 회원수,471,31,479,14130,7436,8004,172,13443,202302
회원수,직불/체크카드,개인,사용불가 회원수,30,5,32,224,488,289,20,308,202302
회원수,직불/체크카드,개인,순수 보유 회원수(월말),345,27,259,7700,5150,6012,142,8276,202302
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,331,314,226,24,652,202302
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,59,11,10,5,118,202302
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,139,116,106,10,400,202302
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,4,2,20,202302
회원수,직불/체크카드,법인,순수 보유 회원수(월말),3,0,1,163,106,60,9,316,202302
회원수,신용카드,개인,"전체
회원수
(월중)",9079,1485,12675,14261,7021,5958,11577,11639,202303
회원수,신용카드,개인,"신규회원수
(월중)",113,48,127,136,90,95,203,149,202303
회원수,신용카드,개인,해지회원 수(월중),80,15,99,111,68,61,55,89,202303
회원수,신용카드,개인,"전체
이용
회원수",6278,317,9986,11036,5086,4070,8859,9103,202303
회원수,신용카드,개인,"사용가능
회원수
(월말)",8328,1381,11528,13105,6114,5172,10593,10579,202303
회원수,신용카드,법인,신규회원수(월중),0,0,0,5,10,6,0,11,202303
회원수,신용카드,법인,해지회원 수(월중),0,0,0,4,3,1,0,6,202303
회원수,신용카드,법인,사용가능 회원수(월말),34,0,41,170,276,214,35,456,202303
회원수,직불/체크카드,개인,사용가능 카드수,476,34,510,19687,9017,10297,266,16008,202303
회원수,직불/체크카드,개인,사용불가 카드수,33,7,42,522,1108,618,25,866,202303
회원수,직불/체크카드,개인,사용가능 회원수,461,31,466,14126,7373,8058,257,13427,202303
회원수,직불/체크카드,개인,사용불가 회원수,29,5,32,258,464,301,22,306,202303
회원수,직불/체크카드,개인,순수 보유 회원수(월말),337,27,252,7699,5070,6064,212,8240,202303
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,332,313,220,25,648,202303
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,59,11,10,5,118,202303
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,139,116,101,10,400,202303
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,3,2,20,202303
회원수,직불/체크카드,법인,순수 보유 회원수(월말),3,0,1,163,106,60,9,315,202303
회원수,신용카드,개인,"전체
회원수
(월중)",9111,1527,12700,14277,7046,5988,11659,11693,202304
회원수,신용카드,개인,"신규회원수
(월중)",104,56,116,119,85,86,166,118,202304
회원수,신용카드,개인,해지회원 수(월중),73,14,91,103,61,55,85,64,202304
회원수,신용카드,개인,"전체
이용
회원수",6275,243,9890,11090,5121,4074,8973,9101,202304
회원수,신용카드,개인,"사용가능
회원수
(월말)",8353,1419,11531,13120,6114,5190,10674,10593,202304
회원수,신용카드,법인,신규회원수(월중),0,0,0,6,9,6,0,9,202304
회원수,신용카드,법인,해지회원 수(월중),0,0,0,5,3,1,0,1,202304
회원수,신용카드,법인,사용가능 회원수(월말),35,0,40,168,281,217,35,455,202304
회원수,직불/체크카드,개인,사용가능 카드수,466,34,501,19724,9025,10434,308,15968,202304
회원수,직불/체크카드,개인,사용불가 카드수,32,7,42,486,1118,610,26,889,202304
회원수,직불/체크카드,개인,사용가능 회원수,451,31,459,14144,7379,8168,297,13416,202304
회원수,직불/체크카드,개인,사용불가 회원수,29,5,31,239,465,298,22,311,202304
회원수,직불/체크카드,개인,순수 보유 회원수(월말),329,28,248,7715,5068,6158,247,8228,202304
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,333,312,230,26,648,202304
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,60,11,10,5,119,202304
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,140,115,107,10,399,202304
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,4,2,20,202304
회원수,직불/체크카드,법인,순수 보유 회원수(월말),3,0,1,163,105,60,9,314,202304
회원수,신용카드,개인,"전체
회원수
(월중)",9147,1569,12728,14296,7068,6028,11734,11726,202305
회원수,신용카드,개인,"신규회원수
(월중)",110,56,122,119,91,95,145,132,202305
회원수,신용카드,개인,해지회원 수(월중),73,14,94,100,68,55,70,99,202305
회원수,신용카드,개인,"전체
이용
회원수",6334,345,10044,11093,5093,4104,9118,9186,202305
회원수,신용카드,개인,"사용가능
회원수
(월말)",8373,1455,11542,13123,6127,5211,10734,10627,202305
회원수,신용카드,법인,신규회원수(월중),0,0,0,5,8,5,0,10,202305
회원수,신용카드,법인,해지회원 수(월중),0,0,0,6,3,0,0,9,202305
회원수,신용카드,법인,사용가능 회원수(월말),35,0,40,168,286,220,35,457,202305
회원수,직불/체크카드,개인,사용가능 카드수,455,34,496,19761,8987,10497,333,15934,202305
회원수,직불/체크카드,개인,사용불가 카드수,32,7,43,460,1134,615,27,906,202305
회원수,직불/체크카드,개인,사용가능 회원수,441,31,453,14159,7352,8213,321,13404,202305
회원수,직불/체크카드,개인,사용불가 회원수,29,5,31,226,467,298,24,320,202305
회원수,직불/체크카드,개인,순수 보유 회원수(월말),320,28,245,7724,5047,6192,266,8212,202305
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,333,312,232,26,648,202305
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,60,11,10,5,119,202305
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,140,115,108,10,398,202305
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,4,2,20,202305
회원수,직불/체크카드,법인,순수 보유 회원수(월말),3,0,1,163,105,60,10,313,202305
회원수,신용카드,개인,"전체
회원수
(월중)",9181,1601,12765,14312,7081,6065,11790,11768,202306
회원수,신용카드,개인,"신규회원수
(월중)",113,47,126,116,73,93,125,132,202306
회원수,신용카드,개인,해지회원 수(월중),78,15,89,99,60,56,69,90,202306
회원수,신용카드,개인,"전체
이용
회원수",6380,370,10019,11077,5143,4135,9113,9238,202306
회원수,신용카드,개인,"사용가능
회원수
(월말)",8398,1485,11564,13133,6127,5241,10773,10666,202306
회원수,신용카드,법인,신규회원수(월중),0,0,0,4,7,4,0,10,202306
회원수,신용카드,법인,해지회원 수(월중),0,0,0,5,3,1,0,6,202306
회원수,신용카드,법인,사용가능 회원수(월말),35,0,39,168,290,222,35,463,202306
회원수,직불/체크카드,개인,사용가능 카드수,449,34,484,19760,8968,10559,349,15880,202306
회원수,직불/체크카드,개인,사용불가 카드수,31,7,41,453,1146,601,29,909,202306
회원수,직불/체크카드,개인,사용가능 회원수,434,31,444,14149,7337,8248,336,13370,202306
회원수,직불/체크카드,개인,사용불가 회원수,28,5,31,222,468,289,25,317,202306
회원수,직불/체크카드,개인,순수 보유 회원수(월말),314,28,239,7710,5034,6207,278,8173,202306
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,334,312,234,27,647,202306
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,60,10,10,5,120,202306
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,140,115,109,10,398,202306
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,82,2,4,2,20,202306
회원수,직불/체크카드,법인,순수 보유 회원수(월말),2,0,1,164,105,60,10,312,202306
회원수,신용카드,개인,"전체
회원수
(월중)",9223,1649,12810,14326,7096,6094,11842,11818,202307
회원수,신용카드,개인,"신규회원수
(월중)",119,66,133,115,79,84,120,140,202307
회원수,신용카드,개인,해지회원 수(월중),77,18,88,102,64,55,69,90,202307
회원수,신용카드,개인,"전체
이용
회원수",6453,290,10051,11146,5156,4165,9173,9247,202307
회원수,신용카드,개인,"사용가능
회원수
(월말)",8418,1526,11584,13140,6125,5256,10808,10701,202307
회원수,신용카드,법인,신규회원수(월중),0,0,0,3,7,4,0,10,202307
회원수,신용카드,법인,해지회원 수(월중),0,0,0,5,3,1,0,6,202307
회원수,신용카드,법인,사용가능 회원수(월말),36,0,39,167,292,224,35,460,202307
회원수,직불/체크카드,개인,사용가능 카드수,441,34,483,19741,8939,10609,368,15863,202307
회원수,직불/체크카드,개인,사용불가 카드수,31,8,41,457,1183,608,28,947,202307
회원수,직불/체크카드,개인,사용가능 회원수,427,31,444,14135,7314,8271,354,13356,202307
회원수,직불/체크카드,개인,사용불가 회원수,28,5,31,223,482,294,24,328,202307
회원수,직불/체크카드,개인,순수 보유 회원수(월말),308,28,240,7689,5021,6224,289,8150,202307
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,336,310,234,27,648,202307
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,61,10,10,5,120,202307
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,140,115,109,10,397,202307
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,4,2,20,202307
회원수,직불/체크카드,법인,순수 보유 회원수(월말),2,0,1,164,105,60,10,311,202307
회원수,신용카드,개인,"전체
회원수
(월중)",9259,1701,12855,14347,7113,6139,11884,11866,202308
회원수,신용카드,개인,"신규회원수
(월중)",118,67,138,122,84,102,115,136,202308
회원수,신용카드,개인,해지회원 수(월중),83,15,93,100,66,57,73,89,202308
회원수,신용카드,개인,"전체
이용
회원수",6463,398,10059,11172,5151,4186,9200,9289,202308
회원수,신용카드,개인,"사용가능
회원수
(월말)",8455,1572,11615,13137,6137,5291,10830,10739,202308
회원수,신용카드,법인,신규회원수(월중),0,0,0,3,7,6,0,10,202308
회원수,신용카드,법인,해지회원 수(월중),0,0,0,4,4,1,0,5,202308
회원수,신용카드,법인,사용가능 회원수(월말),36,0,38,172,294,228,35,462,202308
회원수,직불/체크카드,개인,사용가능 카드수,433,34,481,19697,8871,10658,383,15838,202308
회원수,직불/체크카드,개인,사용불가 카드수,31,8,42,474,1198,630,29,901,202308
회원수,직불/체크카드,개인,사용가능 회원수,419,31,443,14114,7252,8290,368,13332,202308
회원수,직불/체크카드,개인,사용불가 회원수,28,6,31,229,485,301,25,311,202308
회원수,직불/체크카드,개인,순수 보유 회원수(월말),302,28,239,7673,4973,6239,298,8101,202308
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,337,310,237,28,648,202308
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,61,10,10,6,122,202308
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,140,115,110,10,398,202308
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,4,2,20,202308
회원수,직불/체크카드,법인,순수 보유 회원수(월말),2,0,1,164,105,60,10,311,202308
회원수,신용카드,개인,"전체
회원수
(월중)",9284,1747,12889,14363,7132,6174,11924,11910,202309
회원수,신용카드,개인,"신규회원수
(월중)",102,70,112,106,75,87,105,109,202309
회원수,신용카드,개인,해지회원 수(월중),78,24,78,90,57,52,64,65,202309
회원수,신용카드,개인,"전체
이용
회원수",6450,444,10015,11164,5164,4206,9195,9301,202309
회원수,신용카드,개인,"사용가능
회원수
(월말)",8471,1610,11627,13144,6138,5320,10867,10745,202309
회원수,신용카드,법인,신규회원수(월중),1,0,0,3,6,5,0,9,202309
회원수,신용카드,법인,해지회원 수(월중),1,0,0,4,3,0,0,2,202309
회원수,신용카드,법인,사용가능 회원수(월말),37,0,37,166,293,231,35,468,202309
회원수,직불/체크카드,개인,사용가능 카드수,424,34,479,19635,8832,10784,393,15745,202309
회원수,직불/체크카드,개인,사용불가 카드수,31,8,43,474,1206,606,30,908,202309
회원수,직불/체크카드,개인,사용가능 회원수,410,31,441,14086,7202,8351,377,13268,202309
회원수,직불/체크카드,개인,사용불가 회원수,28,6,31,258,493,294,25,317,202309
회원수,직불/체크카드,개인,순수 보유 회원수(월말),295,28,239,7640,4937,6279,304,8050,202309
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,335,309,242,28,647,202309
회원수,직불/체크카드,법인,사용불가 카드수,1,0,0,60,10,11,6,122,202309
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,141,115,110,11,396,202309
회원수,직불/체크카드,법인,사용불가 회원수,1,0,0,83,2,4,3,20,202309
회원수,직불/체크카드,법인,순수 보유 회원수(월말),3,0,1,165,105,60,10,309,202309
회원수,신용카드,개인,"전체
회원수
(월중)",9301,1805,12882,14362,7141,6216,11971,11921,202310
회원수,신용카드,개인,"신규회원수
(월중)",94,72,84,98,82,91,119,119,202310
회원수,신용카드,개인,해지회원 수(월중),76,14,91,98,73,50,72,108,202310
회원수,신용카드,개인,"전체
이용
회원수",6478,329,9997,11150,5096,4239,9268,9321,202310
회원수,신용카드,개인,"사용가능
회원수
(월말)",8479,1663,11602,13115,6150,5344,10883,10766,202310
회원수,신용카드,법인,신규회원수(월중),1,0,0,2,6,5,0,7,202310
회원수,신용카드,법인,해지회원 수(월중),0,0,0,3,4,1,0,9,202310
회원수,신용카드,법인,사용가능 회원수(월말),36,0,37,165,291,233,35,467,202310
회원수,직불/체크카드,개인,사용가능 카드수,420,34,465,19577,8845,10820,404,15691,202310
회원수,직불/체크카드,개인,사용불가 카드수,31,8,41,480,1187,600,30,906,202310
회원수,직불/체크카드,개인,사용가능 회원수,406,31,430,14052,7195,8366,387,13229,202310
회원수,직불/체크카드,개인,사용불가 회원수,28,6,31,290,480,293,25,315,202310
회원수,직불/체크카드,개인,순수 보유 회원수(월말),291,28,235,7625,4921,6282,310,8008,202310
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,335,308,244,28,645,202310
회원수,직불/체크카드,법인,사용불가 카드수,1,0,0,60,10,12,6,123,202310
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,141,115,111,11,396,202310
회원수,직불/체크카드,법인,사용불가 회원수,1,0,0,83,2,4,3,20,202310
회원수,직불/체크카드,법인,순수 보유 회원수(월말),3,0,1,165,104,61,10,308,202310
회원수,신용카드,개인,"전체
회원수
(월중)",9298,1863,12871,14363,7153,6257,12016,11971,202311
회원수,신용카드,개인,"신규회원수
(월중)",85,71,80,102,81,91,128,138,202311
회원수,신용카드,개인,해지회원 수(월중),88,13,91,102,69,49,82,89,202311
회원수,신용카드,개인,"전체
이용
회원수",6477,467,9947,11128,5171,4279,9272,9483,202311
회원수,신용카드,개인,"사용가능
회원수
(월말)",8466,1715,11573,13089,6151,5367,10912,10823,202311
회원수,신용카드,법인,신규회원수(월중),0,0,0,3,6,5,0,8,202311
회원수,신용카드,법인,해지회원 수(월중),0,0,0,4,3,1,0,4,202311
회원수,신용카드,법인,사용가능 회원수(월말),36,0,37,165,290,234,35,466,202311
회원수,직불/체크카드,개인,사용가능 카드수,411,35,460,19555,8844,10907,413,15623,202311
회원수,직불/체크카드,개인,사용불가 카드수,30,8,40,485,1188,601,30,941,202311
회원수,직불/체크카드,개인,사용가능 회원수,398,32,427,14040,7164,8410,396,13193,202311
회원수,직불/체크카드,개인,사용불가 회원수,27,6,30,302,481,293,24,331,202311
회원수,직불/체크카드,개인,순수 보유 회원수(월말),283,29,234,7625,4894,6309,314,7973,202311
회원수,직불/체크카드,법인,사용가능 카드수,2,0,3,335,307,248,29,645,202311
회원수,직불/체크카드,법인,사용불가 카드수,0,0,0,60,10,12,6,124,202311
회원수,직불/체크카드,법인,사용가능 회원수,2,0,1,141,114,111,11,396,202311
회원수,직불/체크카드,법인,사용불가 회원수,0,0,0,83,2,4,3,20,202311
