Country,Travel_Caution,Travel_Restriction,Departure_Advisory,Travel_Ban,Special_Travel_Advisory
가나,False,True,False,False,False
가봉,False,True,False,False,False
가이아나공화국,False,True,False,False,False
감비아,True,False,False,False,False
과테말라,False,True,False,False,False
그레나다,False,False,False,False,False
그리스,True,False,False,False,False
기니,False,True,False,False,False
기니비사우,False,True,False,False,False
나미비아,False,False,False,False,False
나우루,True,False,False,False,False
나이지리아,False,True,True,False,False
남수단,False,False,True,False,False
남아프리카공화국,False,False,False,False,True
네덜란드,False,False,False,False,False
네팔,True,False,False,False,False
노르웨이,False,False,False,False,False
뉴질랜드,False,False,False,False,False
니우에,False,False,False,False,False
니제르,False,False,True,False,False
니카라과,False,True,False,False,False
대만,False,False,False,False,False
덴마크,True,False,False,False,False
도미니카공화국,False,True,False,False,False
도미니카연방,False,False,False,False,False
독일,False,False,False,False,False
동티모르,True,False,False,False,False
라오스,True,False,False,True,False
라이베리아,False,True,False,False,False
라트비아,False,False,False,False,False
러시아,False,False,True,True,True
레바논,False,False,True,True,False
레소토,False,True,False,False,False
루마니아,False,True,False,False,False
룩셈부르크,False,False,False,False,False
르완다,False,True,False,False,False
리비아,False,False,False,True,False
리투아니아,True,False,False,False,False
리히텐슈타인,True,False,False,False,False
마다가스카르,False,True,False,False,False
마셜제도,True,False,False,False,False
마이크로네시아,True,False,False,False,False
마카오,True,False,False,False,False
말라위,True,False,False,False,False
말레이시아,True,False,True,False,False
말리,False,False,True,False,False
멕시코,False,True,True,False,True
모나코,False,False,False,False,False
모로코,True,True,True,False,False
모리셔스,False,False,False,False,False
모리타니아,False,True,True,False,False
모잠비크,False,True,True,False,False
몬테네그로,False,False,False,False,False
몰도바,False,False,False,False,False
몰디브,True,False,False,False,False
몰타,True,False,False,False,False
몽골,True,False,False,False,False
미국,True,False,False,False,False
미얀마,False,False,True,True,False
바누아투,False,True,False,False,False
바레인,True,False,False,False,False
바베이도스,False,False,False,False,False
바하마,False,False,False,False,False
방글라데시,False,True,True,False,False
베냉,False,True,True,False,False
베네수엘라,False,False,True,False,False
베트남,True,False,False,False,False
벨기에,True,False,False,False,False
벨라루스,False,False,True,True,False
벨리즈,False,True,False,False,False
보스니아헤르체고비나,True,False,False,False,False
보츠와나,False,True,False,False,False
볼리비아,False,True,True,False,False
부룬디,False,True,True,False,False
부르키나파소,False,True,True,False,False
부탄,True,False,False,False,False
북마케도니아,False,False,False,False,False
불가리아,False,False,False,False,False
브라질,False,True,False,False,False
브루나이,False,False,False,False,False
사모아,False,False,False,False,False
사우디아라비아,False,True,True,False,False
사이프러스,False,True,True,False,False
산마리노,True,False,False,False,False
상투메프린시페,True,False,False,False,False
세네갈,True,False,False,False,False
세르비아,False,False,False,False,False
세이셸,False,False,False,False,False
세인트루시아,False,False,False,False,False
세인트빈센트그레나딘,False,False,False,False,False
세인트키츠네비스,False,False,False,False,False
소말리아,False,False,False,True,False
솔로몬제도,False,True,False,False,False
수단,False,False,False,True,False
수리남,False,True,False,False,False
스리랑카,True,False,False,False,False
스웨덴,False,False,False,False,False
스위스,True,False,False,False,False
스페인,True,False,False,False,False
슬로바키아,False,False,False,False,False
슬로베니아,True,False,False,False,False
시리아,False,False,False,True,False
시에라리온,False,True,False,False,False
싱가포르,False,False,False,False,False
아랍에미리트,False,False,False,False,False
아르메니아,False,True,True,True,False
아르헨티나,False,True,False,False,False
아이슬란드,True,False,False,False,False
아이티,False,False,False,True,False
아일랜드,False,False,False,False,False
아제르바이잔,True,False,True,True,False
아프가니스탄,False,False,False,True,False
안도라,False,False,False,False,False
알바니아,True,False,False,False,False
알제리,False,True,True,False,False
앙골라,False,True,False,False,False
앤티가바부다,False,False,False,False,False
에리트레아,False,True,True,False,False
에스와티니,False,False,False,False,False
에스토니아,False,False,False,False,False
에콰도르,False,True,False,False,False
에티오피아,False,True,True,False,False
엘살바도르,False,False,False,False,True
영국,True,False,False,False,False
예멘,False,False,False,True,False
오만,False,False,False,False,False
오스트리아,True,False,False,False,False
온두라스,False,True,False,False,False
요르단,True,True,False,False,False
우간다,False,True,False,False,False
우루과이,False,False,False,False,False
우즈베키스탄,False,False,False,False,False
우크라이나,False,False,False,True,False
이라크,False,False,False,True,False
이란,False,False,True,False,True
이스라엘,False,False,True,True,False
이집트,True,True,True,False,False
이탈리아,True,False,False,False,False
인도,True,False,True,False,False
인도네시아,True,True,False,False,False
일본,False,False,True,False,False
자메이카,False,True,True,False,False
잠비아,True,False,False,False,False
적도기니,False,True,False,False,False
조지아,False,True,True,False,False
중국,True,False,False,False,True
중앙아프리카공화국,False,False,True,False,False
지부티,False,True,True,False,False
짐바브웨,True,False,False,False,False
차드,False,False,True,False,False
체코,False,False,False,False,False
칠레,False,True,False,False,False
카메룬,False,True,True,False,False
카보베르데,False,False,False,False,False
카자흐스탄,False,False,False,False,False
카타르,False,False,False,False,False
캄보디아,True,False,False,False,False
캐나다,False,False,False,False,False
케냐,False,True,True,False,False
코모로,False,True,False,False,False
코소보,False,True,True,False,False
코스타리카,False,True,False,False,False
코트디부아르,False,True,True,False,False
콜롬비아,False,True,True,False,False
콩고,False,True,False,False,False
콩고민주공화국,False,False,True,False,True
쿠바,False,False,False,False,False
쿠웨이트,True,True,False,False,False
쿡제도,False,False,False,False,False
크로아티아,False,False,False,False,False
키르기스스탄,False,False,False,False,False
키리바시,True,False,False,False,False
타지키스탄,True,False,True,False,False
탄자니아,False,True,True,False,False
태국,True,False,True,False,True
토고,False,True,False,False,False
통가,False,False,False,False,False
투르크메니스탄,True,False,False,False,False
투발루,False,False,False,False,False
튀니지,True,True,True,False,False
튀르키예,True,False,True,False,False
트리니다드토바고,False,True,False,False,False
파나마,False,True,True,False,False
파라과이,False,True,False,False,False
파키스탄,False,True,True,False,False
파푸아뉴기니,False,True,True,False,False
팔라우,False,False,False,False,False
팔레스타인-자치지역,False,False,True,True,False
페루,False,True,True,False,False
포르투갈,False,False,False,False,False
폴란드,True,True,False,False,False
프랑스,True,False,False,False,False
피지,True,False,False,False,False
핀란드,False,False,False,False,False
필리핀,True,True,True,True,False
헝가리,False,False,False,False,False
호주,False,False,False,False,False
홍콩,True,False,False,False,False
